County,State_Name,Avg_Food_Insecurity_Rate,Poverty_Rate,Avg_HS_or_Higher,Avg_Bachelors_or_Higher,Avg_Rent,Avg_Income,Rent_to_Income_Pct,Food_Access_Rate
Brewster County,Texas,0.1604,0.084,0.756833333,0.406666667,7116,45296,0.157099965,49.00379868
Cameron County,Texas,0.1956,0.244,0.631833333,0.180333333,6960,41200,0.168932039,51.83761569
Cochise County,Arizona,0.138,0.155,0.745346667,0.229,7788,51505,0.151208621,72.69039032
Doña Ana County,New Mexico,0.168,0.222,0.709666667,0.2815,7764,44024,0.17635835,NA
El Paso County,Texas,0.1684,0.189,0.687833333,0.226,8736,48292,0.180899528,38.55326652
Hidalgo County,New Mexico,0.154,0.205,0.775333333,0.156833333,4296,44722,0.096060105,52.67373925
Hidalgo County,Texas,0.2052,0.272,0.603,0.1795,7176,41846,0.171485925,47.62977498
Hudspeth County,Texas,0.2114,0.19,0.542666667,0.1045,4500,31505,0.142834471,99.99999951
Imperial County,California,0.1954,0.196,0.6215,0.143,8124,46222,0.17576046,46.01239342
Jeff Davis County,Texas,0.1712,0.312,0.733833333,0.259833333,NA,NA,NA,61.81788468
Kinney County,Texas,0.192,0.113,0.761,0.128166667,4536,39972,0.113479436,46.52545557
Luna County,New Mexico,0.2124,0.261,0.679166667,0.126166667,5124,32251,0.158878794,50.91821732
Maverick County,Texas,0.2052,0.226,0.6005,0.131333333,6456,41385,0.15599855,35.12865523
Pima County,Arizona,0.1318,0.144,0.7725,0.315833333,9360,55023,0.170110681,49.50637176
Presidio County,Texas,0.2678,0.363,0.523666667,0.211166667,3492,22716,0.153724247,29.14564411
San Diego County,California,0.1024,0.104,0.756333333,0.374,19548,82426,0.237158178,34.25634447
Santa Cruz County,Arizona,0.156,0.202,0.683833333,0.217333333,6372,41424,0.15382387,49.90225269
Starr County,Texas,0.247,0.335,0.521166667,0.125333333,4620,30931,0.149364715,64.0102177
Terrell County,Texas,0.1224,0.082,0.841333333,0.229833333,NA,42823,NA,99.99999981
Val Verde County,Texas,0.1666,0.183,0.657,0.2015,7092,47675,0.14875721,60.64063967
Webb County,Texas,0.1776,0.21,0.600833333,0.186,7968,50296,0.158422141,41.10469136
Yuma County,Arizona,0.1746,0.165,0.667333333,0.151166667,8100,48790,0.166017627,56.32234214
Zapata County,Texas,0.2348,0.374,0.576166667,0.128833333,4044,32945,0.122750038,36.49069185
N/A,US Total,0.13350786,12.40%,89.40%,31.70%,7319.00904,54171.5146,0.13510807,54.0817422
